Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
220,MAF,Saint Martin,Marigot,North America,32077,31791,32552,35020,36458,29610,28127,7776,5802,53,642,0.90%,0.00%
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5840,5862,5906,5978,6052,6274,6324,6106,5537,242,24,-0.38%,0.00%
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103698,103948,104632,106482,109308,113813,112487,107480,98459,389,266,-0.24%,0.00%
188,WSM,Samoa,Apia,Oceania,225681,222382,214929,203571,194672,184008,168186,164905,142771,2842,81,1.48%,0.00%
218,SMR,San Marino,San Marino,Europe,33642,33660,34007,33570,31608,26823,23132,21346,18169,61,561,-0.05%,0.00%
187,STP,Sao Tome and Principe,São Tomé,Africa,231856,227380,218641,201124,182138,143714,120343,97210,77583,964,242,1.97%,0.00%
41,SAU,Saudi Arabia,Riyadh,Asia,36947025,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,17,1.48%,0.46%
72,SEN,Senegal,Dakar,Africa,17763163,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,92,2.58%,0.22%
105,SRB,Serbia,Belgrade,Europe,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,82,-1.00%,0.09%
196,SYC,Seychelles,Victoria,Africa,107660,107118,105530,99240,92409,80060,71057,65290,54379,452,234,0.51%,0.00%
102,SLE,Sierra Leone,Freetown,Africa,8791092,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,122,2.15%,0.11%
113,SGP,Singapore,Singapore,Asia,6014723,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8377,0.65%,0.08%
214,SXM,Sint Maarten,Philipsburg,North America,44222,44175,43621,40205,33034,30489,27845,12243,6260,34,1301,0.11%,0.00%
116,SVK,Slovakia,Bratislava,Europe,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,118,2.69%,0.07%
148,SVN,Slovenia,Ljubljana,Europe,2119675,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,105,-0.01%,0.03%
166,SLB,Solomon Islands,Honiara,Oceania,740424,724273,691191,612660,540394,429978,324171,233668,172833,28896,26,2.23%,0.01%
